UBBB -> LKPR | Disp: 0 de 300 
SPIM -> LATI | Disp: 0 de 360 
EBCI -> SKBO | Disp: 0 de 320 
EBCI -> LATI | Disp: 0 de 360 
UBBB -> SKBO | Disp: 0 de 300 
EBCI -> UMMS | Disp: 0 de 300 
UBBB -> SUAA | Disp: 0 de 300 
EBCI -> SKBO | Disp: 0 de 320 
SPIM -> OAKB | Disp: 0 de 320 
UBBB -> OOMS | Disp: 0 de 360 
EBCI -> OOMS | Disp: 81 de 340 
UBBB -> EDDI | Disp: 0 de 320 
SPIM -> UMMS | Disp: 0 de 300 
SPIM -> SCEL | Disp: 0 de 300 
EBCI -> OYSN | Disp: 0 de 300 
UBBB -> UMMS | Disp: 0 de 300 
UBBB -> LDZA | Disp: 0 de 300 
UBBB -> SBBR | Disp: 0 de 300 
UBBB -> OSDI | Disp: 0 de 360 
EBCI -> LKPR | Disp: 0 de 300 
UBBB -> SGAS | Disp: 0 de 320 
EBCI -> SUAA | Disp: 0 de 320 
SPIM -> OPKC | Disp: 0 de 360 
EBCI -> SKBO | Disp: 51 de 340 
EBCI -> SUAA | Disp: 0 de 320 
SPIM -> VIDP | Disp: 0 de 320 
SPIM -> LDZA | Disp: 27 de 320 
EBCI -> OMDB | Disp: 0 de 360 
SPIM -> SBBR | Disp: 0 de 300 
SPIM -> SKBO | Disp: 0 de 300 
EBCI -> SBBR | Disp: 14 de 320 
SPIM -> SUAA | Disp: 0 de 300 
UBBB -> SGAS | Disp: 0 de 300 
UBBB -> SVMI | Disp: 0 de 300 
SPIM -> SKBO | Disp: 0 de 340 
UBBB -> EDDI | Disp: 0 de 320 
EBCI -> LATI | Disp: 0 de 320 
SPIM -> LKPR | Disp: 0 de 300 
SPIM -> EDDI | Disp: 0 de 360 
UBBB -> LKPR | Disp: 0 de 320 
SPIM -> SCEL | Disp: 57 de 360 
SPIM -> EKCH | Disp: 0 de 340 
SPIM -> LKPR | Disp: 0 de 320 
EBCI -> OYSN | Disp: 0 de 300 
EBCI -> LBSF | Disp: 0 de 320 
SPIM -> EDDI | Disp: 0 de 300 
EBCI -> LATI | Disp: 0 de 340 
UBBB -> OSDI | Disp: 0 de 320 
SPIM -> OJAI | Disp: 0 de 300 
EBCI -> LKPR | Disp: 0 de 300 
UBBB -> LBSF | Disp: 0 de 340 
SPIM -> EKCH | Disp: 0 de 340 
EBCI -> SABE | Disp: 14 de 320 
SPIM -> OPKC | Disp: 0 de 320 
UBBB -> OMDB | Disp: 0 de 300 
SPIM -> SCEL | Disp: 55 de 340 
EBCI -> LKPR | Disp: 0 de 300 
EBCI -> SVMI | Disp: 0 de 300 
EBCI -> EKCH | Disp: 0 de 300 
UBBB -> SLLP | Disp: 0 de 300 
UBBB -> OJAI | Disp: 0 de 300 
UBBB -> OJAI | Disp: 0 de 340 
EBCI -> EKCH | Disp: 27 de 300 
SPIM -> OSDI | Disp: 0 de 300 
EBCI -> SVMI | Disp: 0 de 320 
SPIM -> UMMS | Disp: 0 de 320 
EBCI -> OYSN | Disp: 0 de 360 
EBCI -> LKPR | Disp: 0 de 300 
UBBB -> SEQM | Disp: 0 de 340 
SPIM -> EHAM | Disp: 0 de 360 
UBBB -> OOMS | Disp: 0 de 300 
EBCI -> SVMI | Disp: 0 de 360 
SPIM -> EKCH | Disp: 0 de 300 
SPIM -> EHAM | Disp: 0 de 340 
SPIM -> SABE | Disp: 2 de 340 
SPIM -> OOMS | Disp: 0 de 320 
EBCI -> SUAA | Disp: 0 de 340 
EBCI -> EDDI | Disp: 0 de 360 
EBCI -> OMDB | Disp: 0 de 340 
EBCI -> EDDI | Disp: 0 de 300 
SPIM -> LDZA | Disp: 0 de 320 
UBBB -> UMMS | Disp: 298 de 320 
UBBB -> SKBO | Disp: 0 de 320 
EBCI -> OOMS | Disp: 8 de 300 
UBBB -> OMDB | Disp: 0 de 320 
EBCI -> VIDP | Disp: 303 de 340 
SPIM -> LOWW | Disp: 0 de 300 
UBBB -> OSDI | Disp: 0 de 300 
EBCI -> EKCH | Disp: 0 de 300 
UBBB -> VIDP | Disp: 0 de 300 
UBBB -> OJAI | Disp: 0 de 300 
SPIM -> SUAA | Disp: 0 de 320 
UBBB -> LKPR | Disp: 0 de 320 
UBBB -> OSDI | Disp: 0 de 360 
UBBB -> LOWW | Disp: 0 de 320 
EBCI -> OERK | Disp: 0 de 320 
UBBB -> EHAM | Disp: 44 de 340 
UBBB -> SUAA | Disp: 0 de 300 
EBCI -> SEQM | Disp: 0 de 320 
UBBB -> LKPR | Disp: 0 de 320 
UBBB -> OSDI | Disp: 0 de 300 
EBCI -> LDZA | Disp: 0 de 300 
EBCI -> SGAS | Disp: 0 de 340 
EBCI -> EKCH | Disp: 0 de 340 
EBCI -> EDDI | Disp: 0 de 300 
UBBB -> OJAI | Disp: 0 de 300 
SPIM -> SKBO | Disp: 0 de 360 
EBCI -> LKPR | Disp: 0 de 320 
EBCI -> OSDI | Disp: 0 de 300 
EBCI -> SCEL | Disp: 0 de 300 
UBBB -> OOMS | Disp: 0 de 340 
EBCI -> LATI | Disp: 0 de 320 
UBBB -> SKBO | Disp: 0 de 360 
SPIM -> SLLP | Disp: 0 de 320 
SPIM -> EKCH | Disp: 3 de 340 
SPIM -> EHAM | Disp: 0 de 340 
EBCI -> OAKB | Disp: 28 de 300 
EBCI -> LATI | Disp: 0 de 300 
EBCI -> OOMS | Disp: 0 de 300 
UBBB -> EKCH | Disp: 0 de 300 
SPIM -> LBSF | Disp: 0 de 340 
SPIM -> VIDP | Disp: 0 de 360 
EBCI -> EDDI | Disp: 0 de 360 
UBBB -> OPKC | Disp: 0 de 300 
UBBB -> EDDI | Disp: 0 de 320 
SPIM -> VIDP | Disp: 0 de 300 
UBBB -> SBBR | Disp: 0 de 340 
EBCI -> LBSF | Disp: 0 de 320 
SPIM -> VIDP | Disp: 0 de 320 
UBBB -> SVMI | Disp: 0 de 320 
SPIM -> OOMS | Disp: 0 de 320 
EBCI -> OYSN | Disp: 6 de 360 
SPIM -> SGAS | Disp: 0 de 300 
EBCI -> SVMI | Disp: 0 de 360 
UBBB -> EKCH | Disp: 0 de 320 
SPIM -> SGAS | Disp: 0 de 360 
EBCI -> OPKC | Disp: 0 de 340 
EBCI -> LBSF | Disp: 0 de 300 
EBCI -> SUAA | Disp: 0 de 340 
SPIM -> VIDP | Disp: 0 de 320 
EBCI -> SUAA | Disp: 0 de 300 
EBCI -> EKCH | Disp: 0 de 300 
SPIM -> OMDB | Disp: 0 de 300 
SPIM -> EKCH | Disp: 0 de 340 
EBCI -> LDZA | Disp: 0 de 320 
SPIM -> OOMS | Disp: 0 de 320 
UBBB -> SGAS | Disp: 0 de 320 
SPIM -> LBSF | Disp: 0 de 340 
EBCI -> VIDP | Disp: 0 de 340 
UBBB -> SKBO | Disp: 0 de 340 
EBCI -> OPKC | Disp: 0 de 300 
SPIM -> VIDP | Disp: 246 de 300 
EBCI -> OPKC | Disp: 0 de 300 
EBCI -> OOMS | Disp: 0 de 300 
EBCI -> SCEL | Disp: 0 de 360 
EBCI -> SBBR | Disp: 13 de 340 
EBCI -> SABE | Disp: 0 de 340 
EBCI -> SABE | Disp: 0 de 340 
UBBB -> LATI | Disp: 0 de 300 
SPIM -> LBSF | Disp: 0 de 320 
SPIM -> SEQM | Disp: 0 de 300 
EBCI -> LDZA | Disp: 47 de 360 
EBCI -> SLLP | Disp: 0 de 300 
SPIM -> SKBO | Disp: 0 de 320 
UBBB -> LATI | Disp: 0 de 300 
SPIM -> SCEL | Disp: 0 de 360 
EBCI -> SBBR | Disp: 0 de 300 
SPIM -> LDZA | Disp: 0 de 320 
EBCI -> LDZA | Disp: 0 de 360 
SPIM -> EHAM | Disp: 0 de 340 
UBBB -> VIDP | Disp: 0 de 300 
EBCI -> SGAS | Disp: 0 de 340 
SPIM -> OSDI | Disp: 0 de 340 
SPIM -> LATI | Disp: 17 de 300 
SPIM -> LKPR | Disp: 0 de 320 
SPIM -> SGAS | Disp: 0 de 320 
UBBB -> SGAS | Disp: 0 de 360 
EBCI -> OAKB | Disp: 0 de 300 
EBCI -> LOWW | Disp: 0 de 300 
EBCI -> SGAS | Disp: 0 de 340 
EBCI -> EDDI | Disp: 0 de 360 
UBBB -> EDDI | Disp: 286 de 320 
SPIM -> SABE | Disp: 0 de 360 
EBCI -> EKCH | Disp: 0 de 300 
UBBB -> SKBO | Disp: 0 de 360 
UBBB -> SGAS | Disp: 0 de 320 
SPIM -> EHAM | Disp: 0 de 300 
UBBB -> SBBR | Disp: 158 de 360 
EBCI -> OERK | Disp: 19 de 340 
SPIM -> UMMS | Disp: 0 de 320 
EBCI -> LDZA | Disp: 0 de 320 
UBBB -> OJAI | Disp: 71 de 300 
SPIM -> SABE | Disp: 10 de 340 
EBCI -> OOMS | Disp: 0 de 300 
EBCI -> SABE | Disp: 0 de 360 
EBCI -> LBSF | Disp: 0 de 340 
UBBB -> EDDI | Disp: 0 de 340 
EBCI -> LATI | Disp: 0 de 340 
SPIM -> EDDI | Disp: 0 de 320 
EBCI -> SVMI | Disp: 0 de 300 
SPIM -> SLLP | Disp: 297 de 300 
UBBB -> EDDI | Disp: 118 de 320 
EBCI -> OSDI | Disp: 0 de 320 
EBCI -> LDZA | Disp: 0 de 300 
SPIM -> SCEL | Disp: 0 de 300 
UBBB -> OMDB | Disp: 0 de 360 
UBBB -> LDZA | Disp: 0 de 320 
SPIM -> OSDI | Disp: 0 de 320 
UBBB -> SEQM | Disp: 0 de 360 
EBCI -> OJAI | Disp: 0 de 300 
SPIM -> LATI | Disp: 0 de 320 
EBCI -> SKBO | Disp: 0 de 300 
UBBB -> SBBR | Disp: 0 de 360 
UBBB -> OJAI | Disp: 0 de 300 
SPIM -> SCEL | Disp: 0 de 300 
UBBB -> LOWW | Disp: 0 de 320 
SPIM -> SCEL | Disp: 0 de 340 
SPIM -> OYSN | Disp: 108 de 320 
EBCI -> EKCH | Disp: 0 de 300 
SPIM -> LDZA | Disp: 0 de 360 
UBBB -> LOWW | Disp: 0 de 320 
EBCI -> LOWW | Disp: 0 de 300 
SPIM -> OAKB | Disp: 0 de 320 
SPIM -> LKPR | Disp: 0 de 360 
EBCI -> SEQM | Disp: 0 de 300 
UBBB -> SUAA | Disp: 0 de 340 
EBCI -> LBSF | Disp: 0 de 340 
UBBB -> OSDI | Disp: 0 de 340 
UBBB -> LATI | Disp: 0 de 300 
EBCI -> LDZA | Disp: 0 de 300 
SPIM -> OAKB | Disp: 0 de 300 
UBBB -> OPKC | Disp: 0 de 340 
UBBB -> OERK | Disp: 0 de 320 
SPIM -> OYSN | Disp: 0 de 320 
EBCI -> LATI | Disp: 0 de 320 
SPIM -> LBSF | Disp: 0 de 360 
EBCI -> OMDB | Disp: 0 de 320 
UBBB -> OMDB | Disp: 0 de 320 
UBBB -> OOMS | Disp: 0 de 360 
SPIM -> LOWW | Disp: 0 de 320 
EBCI -> LDZA | Disp: 0 de 360 
UBBB -> LBSF | Disp: 0 de 320 
EBCI -> EKCH | Disp: 1 de 320 
UBBB -> SVMI | Disp: 0 de 320 
SPIM -> LKPR | Disp: 0 de 320 
SPIM -> SKBO | Disp: 0 de 320 
EBCI -> SVMI | Disp: 0 de 300 
UBBB -> VIDP | Disp: 0 de 320 
SPIM -> OAKB | Disp: 0 de 320 
SPIM -> LDZA | Disp: 0 de 320 
UBBB -> LKPR | Disp: 0 de 320 
EBCI -> OJAI | Disp: 77 de 340 
SPIM -> EKCH | Disp: 0 de 340 
SPIM -> VIDP | Disp: 0 de 360 
EBCI -> EDDI | Disp: 0 de 360 
EBCI -> OPKC | Disp: 0 de 300 
SPIM -> OSDI | Disp: 0 de 320 
EBCI -> EKCH | Disp: 0 de 300 
UBBB -> OERK | Disp: 0 de 300 
SPIM -> EHAM | Disp: 8 de 320 
SPIM -> UMMS | Disp: 0 de 320 
UBBB -> SKBO | Disp: 0 de 300 
EBCI -> OPKC | Disp: 16 de 340 
SPIM -> LKPR | Disp: 0 de 320 
UBBB -> SUAA | Disp: 0 de 300 
EBCI -> SKBO | Disp: 0 de 340 
EBCI -> EDDI | Disp: 0 de 360 
EBCI -> OSDI | Disp: 0 de 300 
EBCI -> LKPR | Disp: 0 de 300 
SPIM -> OYSN | Disp: 0 de 300 
EBCI -> SLLP | Disp: 0 de 320 
SPIM -> OOMS | Disp: 0 de 320 
UBBB -> LOWW | Disp: 0 de 320 
SPIM -> LKPR | Disp: 0 de 320 
UBBB -> LBSF | Disp: 0 de 320 
EBCI -> OOMS | Disp: 0 de 360 
EBCI -> OSDI | Disp: 0 de 300 
UBBB -> LBSF | Disp: 0 de 360 
UBBB -> SABE | Disp: 128 de 300 
UBBB -> OYSN | Disp: 0 de 360 
EBCI -> SGAS | Disp: 200 de 340 
UBBB -> SBBR | Disp: 0 de 300 
UBBB -> OPKC | Disp: 97 de 300 
SPIM -> SUAA | Disp: 0 de 360 
SPIM -> SUAA | Disp: 0 de 340 
UBBB -> SLLP | Disp: 0 de 300 
SPIM -> OYSN | Disp: 0 de 320 
EBCI -> EKCH | Disp: 0 de 360 
EBCI -> OJAI | Disp: 0 de 360 
SPIM -> SEQM | Disp: 0 de 320 
EBCI -> OMDB | Disp: 0 de 360 
EBCI -> SCEL | Disp: 0 de 320 
SPIM -> EDDI | Disp: 0 de 340 
SPIM -> SGAS | Disp: 0 de 340 
EBCI -> UMMS | Disp: 0 de 300 
UBBB -> SLLP | Disp: 0 de 320 
UBBB -> OJAI | Disp: 0 de 340 
SPIM -> OSDI | Disp: 0 de 320 
SPIM -> LATI | Disp: 0 de 320 
UBBB -> EKCH | Disp: 0 de 320 
EBCI -> OYSN | Disp: 0 de 340 
EBCI -> SABE | Disp: 0 de 340 
UBBB -> OSDI | Disp: 0 de 300 
SPIM -> SLLP | Disp: 0 de 300 
UBBB -> SEQM | Disp: 74 de 300 
SPIM -> SVMI | Disp: 0 de 320 
EBCI -> VIDP | Disp: 0 de 340 
SPIM -> VIDP | Disp: 130 de 360 
EBCI -> OSDI | Disp: 0 de 360 
UBBB -> LOWW | Disp: 0 de 300 
UBBB -> SABE | Disp: 0 de 320 
EBCI -> LKPR | Disp: 0 de 300 
EBCI -> SLLP | Disp: 8 de 360 
EBCI -> LDZA | Disp: 0 de 340 
UBBB -> LOWW | Disp: 0 de 320 
UBBB -> OMDB | Disp: 0 de 320 
UBBB -> LKPR | Disp: 0 de 300 
EBCI -> OPKC | Disp: 0 de 340 
UBBB -> OPKC | Disp: 154 de 320 
EBCI -> LBSF | Disp: 45 de 340 
SPIM -> SVMI | Disp: 0 de 320 
UBBB -> SUAA | Disp: 0 de 340 
SPIM -> OYSN | Disp: 0 de 360 
EBCI -> LATI | Disp: 0 de 320 
EBCI -> EDDI | Disp: 0 de 300 
EBCI -> SVMI | Disp: 0 de 320 
EBCI -> OJAI | Disp: 0 de 360 
SPIM -> SGAS | Disp: 0 de 320 
EBCI -> LDZA | Disp: 0 de 360 
EBCI -> OMDB | Disp: 0 de 300 
EBCI -> OJAI | Disp: 0 de 300 
SPIM -> LOWW | Disp: 95 de 300 
EBCI -> LBSF | Disp: 0 de 340 
UBBB -> OJAI | Disp: 0 de 320 
UBBB -> LOWW | Disp: 0 de 300 
SPIM -> SBBR | Disp: 0 de 340 
SPIM -> OMDB | Disp: 0 de 300 
SPIM -> VIDP | Disp: 15 de 300 
SPIM -> OJAI | Disp: 0 de 300 
SPIM -> SGAS | Disp: 0 de 360 
EBCI -> OPKC | Disp: 0 de 340 
SPIM -> OOMS | Disp: 0 de 320 
EBCI -> SUAA | Disp: 0 de 340 
UBBB -> LOWW | Disp: 0 de 300 
EBCI -> EKCH | Disp: 0 de 300 
UBBB -> SEQM | Disp: 0 de 340 
UBBB -> EDDI | Disp: 0 de 340 
EBCI -> SVMI | Disp: 0 de 360 
UBBB -> OSDI | Disp: 0 de 300 
UBBB -> LKPR | Disp: 0 de 320 
EBCI -> OJAI | Disp: 0 de 360 
EBCI -> SBBR | Disp: 0 de 360 
EBCI -> LOWW | Disp: 0 de 320 
SPIM -> VIDP | Disp: 0 de 300 
SPIM -> VIDP | Disp: 0 de 300 
SPIM -> LBSF | Disp: 0 de 320 
EBCI -> UMMS | Disp: 0 de 320 
EBCI -> EKCH | Disp: 0 de 340 
EBCI -> SUAA | Disp: 85 de 320 
SPIM -> OAKB | Disp: 0 de 340 
SPIM -> UMMS | Disp: 0 de 300 
EBCI -> SKBO | Disp: 0 de 320 
UBBB -> VIDP | Disp: 0 de 320 
UBBB -> LATI | Disp: 0 de 300 
EBCI -> EKCH | Disp: 0 de 340 
EBCI -> EDDI | Disp: 0 de 300 
EBCI -> LATI | Disp: 0 de 340 
EBCI -> OSDI | Disp: 0 de 320 
SPIM -> VIDP | Disp: 0 de 320 
UBBB -> SGAS | Disp: 0 de 340 
EBCI -> OPKC | Disp: 0 de 300 
UBBB -> EHAM | Disp: 42 de 300 
UBBB -> SCEL | Disp: 0 de 320 
SPIM -> OMDB | Disp: 0 de 320 
UBBB -> SABE | Disp: 0 de 360 
UBBB -> OAKB | Disp: 0 de 300 
UBBB -> OSDI | Disp: 0 de 340 
SPIM -> SUAA | Disp: 0 de 320 
SPIM -> LKPR | Disp: 0 de 320 
SPIM -> OOMS | Disp: 0 de 300 
EBCI -> LDZA | Disp: 79 de 300 
UBBB -> SGAS | Disp: 0 de 300 
UBBB -> OYSN | Disp: 0 de 360 
SPIM -> OPKC | Disp: 0 de 300 
UBBB -> SCEL | Disp: 0 de 300 
UBBB -> LKPR | Disp: 0 de 300 
SPIM -> LBSF | Disp: 0 de 340 
EBCI -> EDDI | Disp: 0 de 320 
SPIM -> UMMS | Disp: 0 de 320 
UBBB -> LBSF | Disp: 0 de 320 
SPIM -> LOWW | Disp: 0 de 300 
SPIM -> LKPR | Disp: 0 de 320 
SPIM -> OPKC | Disp: 0 de 320 
SPIM -> LBSF | Disp: 0 de 360 
SPIM -> EHAM | Disp: 0 de 340 
EBCI -> SLLP | Disp: 0 de 360 
UBBB -> LDZA | Disp: 0 de 300 
EBCI -> UMMS | Disp: 0 de 300 
SPIM -> SKBO | Disp: 0 de 320 
UBBB -> OSDI | Disp: 0 de 340 
